District,MeanARS,CC,CD
Bagerhat,24.21319797,7741,263
Bandarban,0.101351351,1777,18
Barguna,1.010362694,2889,121
Barishal,4.788359788,20200,332
Bhola,1.914893617,8502,142
Bogura,2.973684211,28840,661
Brahmanbaria,154.9709302,18719,529
Chandpur,330.9821429,18010,658
Chapai Nawabganj,52.01030928,5647,177
Chattogram,19.69945355,129128,1517
Chuadanga,24.41919192,4267,262
Cox's Bazar,1.517857143,34588,335
Cumilla,211.1206897,47332,1588
Dhaka,1.454741379,728702,8410
Dinajpur,0.544041451,18843,389
Faridpur,103.5151515,30987,465
Feni,123.2346369,14950,300
Gaibandha,10.24324324,5186,90
Gazipur,0.062893082,35425,602
Gopalganj,149.3151515,13019,226
Habiganj,25.15151515,10186,133
Jamalpur,5.740740741,6448,171
Jashore,27.96954315,23735,589
Jhalokati,12.5,3416,100
Jhenaidah,8.7,9190,413
Joypurhat,0,3699,119
Khagrachhari,5.03125,1913,46
Khulna,22.69230769,28812,698
Kishoregonj,22.56097561,16202,295
Kurigram,3.96373057,4347,78
Kushtia,5.804020101,19721,854
Lakshmipur,59.50292398,10689,254
Lalmonirhat,4.25257732,3386,83
Madaripur,81.47058824,10137,205
Magura,30.48128342,4707,134
Manikganj,42.05882353,10386,247
Maulvibazar,38.01507538,12652,235
Meherpur,11.53266332,4848,207
Munshiganj,13.76404494,15862,479
Mymensingh,11.31578947,24868,458
Naogaon,7.386934673,8111,205
Narail,33.32460733,5432,181
Narayangonj,15.45714286,36834,794
Narsingdi,5.795454545,13868,331
Natore,0.105263158,9343,212
Netrokona,40.23255814,5013,164
Nilphamari,0.968586387,3796,99
Noakhali,86.40449438,28395,625
Pabna,22.95811518,24981,198
Panchagarh,3.989071038,4438,96
Patuakhali,0.871794872,6598,162
Pirojpur,5.767195767,4417,136
Rajbari,17.93939394,12331,231
Rajshahi,8.055555556,29590,394
Rangamati,0.460122699,4341,36
Rangpur,2.696335079,13795,332
Satkhira,40.6443299,7357,106
Shariatpur,36.06918239,10056,179
Sherpur,5.941176471,5720,118
Sirajganj,3.907103825,13368,195
Sunamganj,97.35135135,7984,183
Sylhet,18.1443299,38291,837
Tangail,3.391812865,22690,480
Thakurgaon,0.837563452,6833,262
